Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/07  24:00:00,1029.89154253,97.4919360642,618.692247443,0.0,46.0930336215,124.558693486,462.968363649,431.413940366,14.1616749024,17.392748381
 01/08  01:00:00,1006.06504746,97.4919360642,618.442787613,0.0,34.9616554283,113.312780494,453.961900763,439.592632318,5.66466996096,8.70459848387
 01/08  02:00:00,1006.84503923,97.4919360642,619.301108641,0.0,34.9616554283,113.312780494,469.481745588,446.423649019,5.66466996096,17.3934266088
 01/08  03:00:00,1002.08709494,97.4919360642,614.26864442,0.0,34.9616554283,113.312780494,465.545017343,451.17478509,5.66466996096,8.70556229148
 01/08  04:00:00,998.043192804,97.4919360642,609.981591877,0.0,34.9616554283,113.312780494,476.869807067,453.811151807,5.66466996096,17.3939852988
 01/08  05:00:00,1004.73536327,97.4919360642,606.162970936,0.0,44.4937663224,113.312780494,459.436549454,445.066072956,5.66466996096,8.70580653735
 01/08  06:00:00,1003.40355644,97.4919360642,604.752654155,0.0,44.4937663224,113.312780494,478.931936121,447.375730752,14.1616749024,17.3945304664
 01/08  07:00:00,1072.97303068,97.4919360642,601.024539271,0.0,54.0258772165,176.889270242,425.974284401,388.944886209,28.3233498048,8.70604838725
 01/08  08:00:00,1058.01919454,97.4919360642,589.638948706,0.0,54.0258772165,184.38654557,442.042653553,382.165210028,42.4850247072,17.3924188186
 01/08  09:00:00,1120.83833744,97.4919360642,575.953720212,0.0,65.1572554096,220.04316451,439.500483604,365.387627981,56.6466996096,17.4661560135
 01/08  10:00:00,1112.56077244,97.4919360642,575.03105475,0.0,65.1572554096,212.545889182,420.340510338,360.322257332,42.4850247072,17.5332282981
 01/08  11:00:00,1129.57109838,97.4919360642,585.1378004,0.0,65.1572554096,220.04316451,458.076688674,360.866550532,70.808374512,26.4017636299
 01/08  12:00:00,1133.72739498,97.4919360642,588.396345831,0.0,65.1572554096,220.04316451,456.209850589,359.000469986,70.808374512,26.4010060912
 01/08  13:00:00,1140.3360772,97.4919360642,596.622107617,0.0,65.1572554096,220.04316451,456.583552844,359.374865619,70.808374512,26.4003127132
 01/08  14:00:00,1134.77970655,97.4919360642,598.577555344,0.0,65.1572554096,212.545889182,442.413211617,359.36704245,56.6466996096,26.399469557
 01/08  15:00:00,1130.65450557,97.4919360642,594.189529678,0.0,65.1572554096,212.545889182,427.106540592,358.217489481,42.4850247072,26.4040264031
 01/08  16:00:00,1126.83899086,97.4919360642,590.149167129,0.0,65.1572554096,212.545889182,441.05967873,358.009701144,56.6466996096,26.403277976
 01/08  17:00:00,1099.85771522,97.4919360642,588.380430498,0.0,65.1572554096,220.04316451,469.739413725,358.366785069,84.9700494144,26.4025792416
 01/08  18:00:00,1060.16889997,97.4919360642,591.781888744,0.0,54.0258772165,184.38654557,482.270146707,371.006748865,84.9700494144,26.2933484283
 01/08  19:00:00,1040.57554651,97.4919360642,591.031500555,0.0,44.4937663224,163.454314868,500.183522261,406.506280132,84.9700494144,8.7071927152
 01/08  20:00:00,1032.66271783,97.4919360642,589.827591898,0.0,44.4937663224,155.95703954,486.497255962,412.458560879,56.6466996096,17.3919954737
 01/08  21:00:00,1021.88965618,97.4919360642,611.856952278,0.0,44.4937663224,124.558693486,521.390738716,456.036579666,56.6466996096,8.70745944016
 01/08  22:00:00,1038.78018076,97.4919360642,630.279807411,0.0,44.4937663224,124.558693486,530.427501672,470.549978686,42.4850247072,17.3924982793
 01/08  23:00:00,1034.69824962,97.4919360642,636.755282641,0.0,34.9616554283,124.558693486,527.994759227,490.963674005,28.3233498048,8.707735418
 01/08  24:00:00,1049.36449706,97.4919360642,651.333672235,0.0,34.9616554283,124.558693486,532.582346415,501.027664958,14.1616749024,17.3930065547
 01/09  01:00:00,1057.88815981,97.4919360642,661.949014193,0.0,46.0930336215,113.312780494,521.723910714,507.353825357,5.66466996096,8.70541539643
 01/09  02:00:00,1055.43791411,97.4919360642,660.07614902,0.0,46.0930336215,113.312780494,536.724780047,513.666394863,5.66466996096,17.393715223
 01/09  03:00:00,1045.95975135,97.4919360642,651.919127588,0.0,46.0930336215,113.312780494,534.939126755,520.568746597,5.66466996096,8.70571019644
 01/09  04:00:00,1032.45521287,97.4919360642,638.967320388,0.0,46.0930336215,113.312780494,551.531016041,528.472029205,5.66466996096,17.3943168753
 01/09  05:00:00,1117.8170151,97.4919360642,627.321507734,0.0,100.150657288,148.969399434,522.245010659,507.874368415,5.66466996096,8.70597228274
 01/09  06:00:00,1120.41814608,97.4919360642,617.682321936,0.0,100.150657288,149.894399434,930.778148219,899.220534344,14.1616749024,17.3959389724
 01/09  07:00:00,1345.07811975,97.7264591022,610.849838218,0.0,176.471037341,302.612436532,645.512741635,608.483159401,28.3233498048,8.7062324284
 01/09  08:00:00,1455.72090991,98.010067089,606.141818949,0.0,243.2593065,310.10971186,635.925306834,567.130784759,42.4850247072,26.3094973677
 01/09  09:00:00,1491.13261034,98.1295958863,602.33694292,0.0,243.2593065,310.10971186,634.533304863,551.452570034,56.6466996096,26.4340352198
 01/09  10:00:00,1522.8642615,98.2200802177,600.937900116,0.0,243.2593065,302.612436532,618.932461896,541.090150697,42.4850247072,35.357286492
 01/09  11:00:00,1521.2702271,98.302650541,604.888905937,0.0,243.2593065,310.10971186,617.298060361,510.946515897,70.808374512,35.5431699522
 01/09  12:00:00,1529.08771504,98.6538661079,621.872153609,0.0,243.2593065,310.10971186,594.088794204,487.662725152,70.808374512,35.6176945397
 01/09  13:00:00,1495.21232422,99.2426089784,628.399935419,0.0,243.2593065,310.10971186,568.514755503,462.264043916,70.808374512,35.4423370751
 01/09  14:00:00,1521.5403306,99.6694860509,619.964967496,0.0,243.2593065,302.612436532,534.446212306,442.182880115,56.6466996096,35.6166325815
 01/09  15:00:00,1516.08736623,100.075473871,613.260131498,0.0,243.2593065,302.612436532,494.953179109,416.908706539,42.4850247072,35.5594478622
 01/09  16:00:00,1514.13417099,100.504276081,610.469120455,0.0,243.2593065,302.612436532,488.591238025,396.448906309,56.6466996096,35.4956321059
 01/09  17:00:00,1519.58636457,100.723901177,608.712512695,0.0,243.2593065,310.10971186,509.769125167,398.309676558,84.9700494144,26.4893991952
 01/09  18:00:00,1528.85469063,101.058281328,613.864042637,0.0,243.2593065,310.10971186,510.56786852,399.364960869,84.9700494144,26.2328582371
 01/09  19:00:00,1290.03893581,97.4919360642,633.382214127,0.0,166.938926447,199.110933808,488.317486919,385.910609059,84.9700494144,17.4368284454
 01/09  20:00:00,1291.72668827,97.4919360642,642.219481346,0.0,166.938926447,191.61365848,457.084765649,391.707338783,56.6466996096,8.73072725649
 01/09  21:00:00,1161.66683648,97.4919360642,646.335352933,0.0,100.150657288,124.558693486,507.945889404,433.859417929,56.6466996096,17.4397718649
 01/09  22:00:00,1126.82878287,97.4919360642,651.374723096,0.0,100.150657288,124.558693486,500.226652826,440.343203399,42.4850247072,17.3984247198
 01/09  23:00:00,1062.4063645,97.4919360642,654.869068619,0.0,46.0930336215,124.558693486,495.625124,458.596231301,28.3233498048,8.70554289405
 01/09  24:00:00,1066.78997253,97.4919360642,658.828328273,0.0,46.0930336215,124.558693486,497.184904784,465.629301642,14.1616749024,17.3939282399
 01/10  01:00:00,1051.38840783,97.4919360642,656.254179592,0.0,46.0930336215,113.312780494,486.277285142,471.906757081,5.66466996096,8.70585809998
 01/10  02:00:00,1049.25363524,97.4919360642,654.279738232,0.0,46.0930336215,113.312780494,500.782931855,477.723567965,5.66466996096,17.3946939293
 01/10  03:00:00,1048.13947557,97.4919360642,653.287105425,0.0,46.0930336215,113.312780494,498.70595046,484.33511935,5.66466996096,8.70616114962
 01/10  04:00:00,1047.47672678,97.4919360642,652.585332349,0.0,46.0930336215,113.312780494,513.655644855,490.598891237,5.66466996096,17.3920836569
