Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/22  20:00:00,365.819127089,69.5357237871,0.0,0.0,220.879908,53.238744,224.764500828,202.550261692,4.83426,17.3799791353
 09/22  21:00:00,117.622664008,0.0,0.0,0.0,43.513341876,52.539744,13.5345024359,0.0,4.83426,8.70024243594
 09/22  22:00:00,117.681641972,0.0,0.0,0.0,43.513341876,52.539744,13.4889632454,0.0,4.83426,8.65470324537
 09/22  23:00:00,118.682858744,0.0,0.0,0.0,43.513341876,52.539744,13.4756470585,0.0,4.83426,8.64138705851
 09/22  24:00:00,117.735083252,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  01:00:00,117.73205752,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  02:00:00,117.706972964,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  03:00:00,117.684022671,0.0,0.0,0.0,43.513341876,52.539744,13.4489828522,0.0,4.83426,8.61472285222
 09/23  04:00:00,118.093951674,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  05:00:00,118.047236187,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  06:00:00,118.044572033,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  07:00:00,114.933996712,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  08:00:00,99.9840594435,0.0,0.0,0.0,43.513341876,52.539744,13.4489582593,0.0,4.83426,8.61469825927
 09/23  09:00:00,100.063658455,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/23  10:00:00,100.124277945,0.0,0.0,0.0,43.513341876,52.539744,22.3293179713,0.0,4.83426,17.4950579713
