Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/30  11:00:00,281.92292426,47.523556342,0.458957423778,0.0,62.886420148,41.4019203762,149.850070025,137.031258331,10.5075,2.31131169433
 10/30  12:00:00,266.586143347,47.523556342,0.853721336275,0.0,62.886420148,41.4019203762,121.024118101,109.350986219,10.5075,1.16563188197
 10/30  13:00:00,267.226461744,47.523556342,1.2860266583,0.0,62.886420148,41.4019203762,106.370293529,93.5514180526,10.5075,2.31137547674
 10/30  14:00:00,267.241795546,47.523556342,1.92688076864,0.0,62.886420148,41.4019203762,87.5456388611,75.8727417995,10.5075,1.16539706154
 10/30  15:00:00,268.14803717,47.523556342,2.63443254119,0.0,62.886420148,41.4019203762,67.8633670961,55.0454304869,10.5075,2.31043660912
 10/30  16:00:00,270.790606712,47.523556342,3.0650834334,0.0,62.886420148,41.4019203762,56.3595041716,44.6865785445,10.5075,1.16542562714
 10/30  17:00:00,269.805028184,47.523556342,3.07513726109,0.0,62.886420148,41.4019203762,59.1789881129,47.5060885633,10.5075,1.16539954955
 10/30  18:00:00,276.693376393,47.523556342,2.01690461511,0.0,41.9242800987,36.8599292233,77.599216264,67.094027951,9.34,1.16518831307
 10/30  19:00:00,256.894833888,47.523556342,1.28851430228,0.0,41.9242800987,36.8599292233,102.185586089,91.6805160802,9.34,1.16507000846
 10/30  20:00:00,225.899643312,47.523556342,0.649249044389,0.0,34.9369000822,32.3179380704,118.205901907,108.868386033,8.1725,1.16501587415
 10/30  21:00:00,166.224549049,47.523556342,0.0,0.0,13.9747600329,18.6919646116,93.2627775005,87.4279599014,4.67,1.16481759909
 10/30  22:00:00,89.9702398019,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/30  23:00:00,124.134791678,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49938582699,0.0,2.335,1.16438582699
 10/30  24:00:00,94.4992079843,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/31  01:00:00,86.8811432449,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/31  02:00:00,86.2247471903,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925780375,0.0,2.335,1.16425780375
 10/31  03:00:00,85.4510526959,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/31  04:00:00,106.994956646,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/31  05:00:00,106.28162797,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926857782,0.0,2.335,1.16426857782
 10/31  06:00:00,177.152186018,47.523556342,0.0,0.0,13.9747600329,18.6919646116,217.473729265,212.783729265,4.67,0.02
 10/31  07:00:00,178.460368228,47.523556342,0.0,0.0,13.9747600329,18.6919646116,206.921630028,201.087087827,4.67,1.16454220093
 10/31  08:00:00,230.982539566,47.523556342,0.0513463110897,0.0,34.9369000822,32.3179380704,184.336025758,176.143525758,8.1725,0.02
 10/31  09:00:00,255.235988473,47.523556342,0.375715005043,0.0,62.886420148,41.4019203762,157.409429222,145.736889833,10.5075,1.16503938924
 10/31  10:00:00,245.771969994,47.523556342,0.632184089131,0.0,62.886420148,41.4019203762,146.66287715,134.990297975,10.5075,1.16507917515
 10/31  11:00:00,275.948043612,47.523556342,0.781696061665,0.0,62.886420148,41.4019203762,135.780628669,122.961737932,10.5075,2.31139073719
 10/31  12:00:00,255.861845871,47.523556342,0.81819962042,0.0,62.886420148,41.4019203762,133.113138358,121.439965676,10.5075,1.16567268172
 10/31  13:00:00,253.070163819,47.523556342,0.920254289605,0.0,62.886420148,41.4019203762,126.537557818,113.718597226,10.5075,2.31146059212
 10/31  14:00:00,249.620584843,47.523556342,1.14654428566,0.0,62.886420148,41.4019203762,121.104694681,109.431753866,10.5075,1.16544081551
 10/31  15:00:00,246.623218339,47.523556342,1.40570564252,0.0,62.886420148,41.4019203762,116.2435602,103.425533741,10.5075,2.31052645897
 10/31  16:00:00,246.749527277,47.523556342,1.47857298138,0.0,62.886420148,41.4019203762,115.375115663,103.702431767,10.5075,1.16518389655
 10/31  17:00:00,246.380099022,47.523556342,1.32679177844,0.0,62.886420148,41.4019203762,125.77171097,114.098763597,10.5075,1.16544737315
 10/31  18:00:00,258.350349472,47.523556342,0.708398642212,0.0,41.9242800987,36.8599292233,139.546340931,129.041104165,9.34,1.16523676572
 10/31  19:00:00,235.334275921,47.523556342,0.561848034947,0.0,41.9242800987,36.8599292233,149.527173395,139.022054121,9.34,1.16511927346
 10/31  20:00:00,210.570435552,47.523556342,0.280407802478,0.0,34.9369000822,32.3179380704,155.207402151,145.869836212,8.1725,1.16506593854
 10/31  21:00:00,154.775891197,47.523556342,0.0,0.0,13.9747600329,18.6919646116,119.795280612,113.960582473,4.67,1.16469813864
 10/31  22:00:00,81.4356410475,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 10/31  23:00:00,115.969196164,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934379621,0.0,2.335,1.16434379621
 10/31  24:00:00,85.3338262828,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/01  01:00:00,78.1484879758,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/01  02:00:00,77.8194835577,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930891849,0.0,2.335,1.16430891849
 11/01  03:00:00,95.9636799175,18.1953159209,0.0,0.0,3.49369000822,9.08398230582,26.4086835661,24.0536835661,2.335,0.02
