Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/02  10:00:00,343.336339502,25.382941973,31.3277820405,0.0,62.886420148,41.4019203762,11.6722053511,0.0,10.5075,1.1647053511
 06/02  11:00:00,366.898033943,25.382941973,44.1168595512,0.0,62.886420148,41.4019203762,11.6723493662,0.0,10.5075,1.16484936621
 06/02  12:00:00,364.620362009,25.382941973,45.4236687699,0.0,62.886420148,41.4019203762,11.6724998505,0.0,10.5075,1.16499985053
 06/02  13:00:00,366.041595278,25.382941973,46.674262576,0.0,62.886420148,41.4019203762,11.6723836271,0.0,10.5075,1.16488362706
 06/02  14:00:00,348.32776458,25.382941973,40.5685703878,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/02  15:00:00,342.105935415,25.382941973,42.6118741248,0.0,62.886420148,41.4019203762,11.6721561835,0.0,10.5075,1.16465618347
 06/02  16:00:00,356.735574964,25.382941973,53.0556396982,0.0,62.886420148,41.4019203762,11.6722358043,0.0,10.5075,1.16473580429
 06/02  17:00:00,360.795146736,25.382941973,56.2566533892,0.0,62.886420148,41.4019203762,11.6721680231,0.0,10.5075,1.16466802307
 06/02  18:00:00,350.169984893,25.382941973,51.5934035178,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/02  19:00:00,323.875836343,25.382941973,43.2141792321,0.0,41.9242800987,36.8599292233,10.5046377053,0.0,9.34,1.1646377053
 06/02  20:00:00,300.029983862,25.382941973,32.201880549,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 06/02  21:00:00,228.940501263,25.382941973,39.7047303402,0.0,13.9747600329,18.6919646116,5.83448622414,0.0,4.67,1.16448622414
 06/02  22:00:00,138.291749609,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/02  23:00:00,165.326047593,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924143163,0.0,2.335,1.16424143163
 06/02  24:00:00,147.081697593,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/03  01:00:00,134.722755928,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  02:00:00,131.430561095,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  03:00:00,129.857119321,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552260798,0.0,1.75125,1.16427260798
 06/03  04:00:00,136.471380705,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  05:00:00,134.15140544,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  06:00:00,172.513352734,25.382941973,8.76763834984,0.0,6.98738001645,14.1499734587,4.6667376165,0.0,3.5025,1.1642376165
 06/03  07:00:00,187.443008317,25.382941973,6.65755854836,0.0,6.98738001645,14.1499734587,4.08890579627,0.566405796271,3.5025,0.02
 06/03  08:00:00,260.366569645,25.382941973,11.9320351313,0.0,20.9621400493,23.2339557645,7.00192378245,0.0,5.8375,1.16442378245
 06/03  09:00:00,297.843073423,25.382941973,18.7037410198,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/03  10:00:00,333.762555999,25.382941973,28.1282250107,0.0,62.886420148,41.4019203762,11.6721438658,0.0,10.5075,1.16464386578
 06/03  11:00:00,358.983090001,25.382941973,37.0651414914,0.0,62.886420148,41.4019203762,11.672253745,0.0,10.5075,1.16475374498
 06/03  12:00:00,359.889861109,25.382941973,42.7172578537,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/03  13:00:00,368.093537279,25.382941973,47.56274986,0.0,62.886420148,41.4019203762,11.6723905549,0.0,10.5075,1.16489055493
 06/03  14:00:00,366.801363237,25.382941973,54.2892486243,0.0,62.886420148,41.4019203762,11.6722973812,0.0,10.5075,1.16479738124
 06/03  15:00:00,371.414108503,25.382941973,63.7191947324,0.0,62.886420148,41.4019203762,11.6722252794,0.0,10.5075,1.16472527942
 06/03  16:00:00,379.151735615,25.382941973,70.1682186014,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/03  17:00:00,378.903715435,25.382941973,70.0728331937,0.0,62.886420148,41.4019203762,11.6722917686,0.0,10.5075,1.1647917686
 06/03  18:00:00,346.42033129,25.382941973,57.8178038789,0.0,34.9369000822,32.3179380704,9.33716934846,0.0,8.1725,1.16466934846
 06/03  19:00:00,293.039208919,25.382941973,41.6512078692,0.0,20.9621400493,23.2339557645,7.00204699132,0.0,5.8375,1.16454699132
 06/03  20:00:00,279.092821449,25.382941973,31.1942186449,0.0,20.9621400493,23.2339557645,5.8575,0.0,5.8375,0.02
 06/03  21:00:00,223.827261218,25.382941973,40.7029485644,0.0,6.98738001645,14.1499734587,4.66689266891,0.0,3.5025,1.16439266891
 06/03  22:00:00,137.757189192,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  23:00:00,163.910369508,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/03  24:00:00,145.871881036,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554052823,0.0,1.75125,1.16429052823
 06/04  01:00:00,136.012623297,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/04  02:00:00,132.869367896,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/04  03:00:00,131.569103357,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91546373118,0.0,1.75125,1.16421373118
 06/04  04:00:00,138.73739387,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
