Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/14  14:00:00,1129.46298773,81.2517478985,823.568450845,0.0,122.71106,84.617158233,24.1913,0.0,24.1713,0.02
 07/14  15:00:00,1113.62636569,81.8315522636,813.301790881,0.0,122.71106,78.0003075165,13.4671251765,0.0,4.83426,8.63286517647
 07/14  16:00:00,1104.48679013,83.0803529147,807.862603084,0.0,122.71106,73.183824,4.85426,0.0,4.83426,0.02
 07/14  17:00:00,1070.42162966,81.527191596,809.19099514,0.0,122.71106,39.942024,4.85426,0.0,4.83426,0.02
 07/14  18:00:00,991.134755114,73.0449310632,738.71515447,0.0,122.71106,39.942024,13.4880058403,0.016075836098,4.83426,8.6376700042
 07/14  19:00:00,978.259289399,73.0449310632,725.766167292,0.0,122.71106,39.942024,13.4833368071,0.0,4.83426,8.64907680711
 07/14  20:00:00,886.603889263,73.0449310632,698.570214949,0.0,43.513341876,39.942024,4.85426,0.0,4.83426,0.02
 07/14  21:00:00,175.122889235,0.375199526914,68.9889238904,0.0,43.513341876,39.243024,13.4776237864,0.0,4.83426,8.64336378643
 07/14  22:00:00,334.2054555,1.4653039278,225.601881597,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/14  23:00:00,217.394329909,0.740880681593,109.579562439,0.0,43.513341876,39.243024,13.4525581773,0.0,4.83426,8.61829817728
 07/14  24:00:00,157.142496838,0.368585562477,51.0972975318,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  01:00:00,105.157116637,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  02:00:00,105.143630292,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  03:00:00,105.13917192,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  04:00:00,105.706343823,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  05:00:00,105.651945696,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  06:00:00,99.6626240203,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  07:00:00,87.5734440541,0.0,0.0,0.0,43.513341876,39.243024,13.4412865775,0.0,4.83426,8.60702657749
 07/15  08:00:00,287.554813348,1.1099179729,196.962312953,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  09:00:00,427.032231135,8.00224973877,326.119275427,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
